date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-05-28,ES,Afonso Cláudio,city,3248,55,True,30455,3200102,10664.91545,0.0169
2021-05-28,ES,Água Doce do Norte,city,761,34,True,10909,3200169,6975.89147,0.0447
2021-05-28,ES,Águia Branca,city,1843,58,True,9631,3200136,19136.12294,0.0315
2021-05-28,ES,Alegre,city,2122,47,True,29975,3200201,7079.23269,0.0221
2021-05-28,ES,Alfredo Chaves,city,2182,31,True,14636,3200300,14908.44493,0.0142
2021-05-28,ES,Alto Rio Novo,city,674,21,True,7874,3200359,8559.81712,0.0312
2021-05-28,ES,Anchieta,city,4493,81,True,29779,3200409,15087.81356,0.018
2021-05-28,ES,Apiacá,city,737,31,True,7554,3200508,9756.42044,0.0421
2021-05-28,ES,Aracruz,city,14496,206,True,103101,3200607,14059.99942,0.0142
2021-05-28,ES,Atilio Vivacqua,city,1396,27,True,12105,3200706,11532.42462,0.0193
2021-05-28,ES,Baixo Guandu,city,3246,69,True,31132,3200805,10426.57073,0.0213
2021-05-28,ES,Barra de São Francisco,city,4476,183,True,44979,3200904,9951.31061,0.0409
2021-05-28,ES,Boa Esperança,city,1348,37,True,15092,3201001,8931.88444,0.0274
2021-05-28,ES,Bom Jesus do Norte,city,930,22,True,9962,3201100,9335.4748,0.0237
2021-05-28,ES,Brejetuba,city,1528,13,True,12427,3201159,12295.80752,0.0085
2021-05-28,ES,Cachoeiro de Itapemirim,city,24450,512,True,210589,3201209,11610.29304,0.0209
2021-05-28,ES,Cariacica,city,37079,1238,True,383917,3201308,9658.07714,0.0334
2021-05-28,ES,Castelo,city,5543,108,True,37747,3201407,14684.6107,0.0195
2021-05-28,ES,Colatina,city,18430,324,True,123400,3201506,14935.17018,0.0176
2021-05-28,ES,Conceição da Barra,city,1490,50,True,31273,3201605,4764.49333,0.0336
2021-05-28,ES,Conceição do Castelo,city,1309,24,True,12806,3201704,10221.77104,0.0183
2021-05-28,ES,Divino de São Lourenço,city,377,7,True,4270,3201803,8829.03981,0.0186
2021-05-28,ES,Domingos Martins,city,3454,61,True,33986,3201902,10163.0083,0.0177
2021-05-28,ES,Dores do Rio Preto,city,632,11,True,6771,3202009,9333.92409,0.0174
2021-05-28,ES,Ecoporanga,city,2842,57,True,22835,3202108,12445.80688,0.0201
2021-05-28,ES,Fundão,city,2369,58,True,21948,3202207,10793.69419,0.0245
2021-05-28,ES,Governador Lindenberg,city,1594,20,True,12880,3202256,12375.7764,0.0125
2021-05-28,ES,Guaçuí,city,2346,88,True,31122,3202306,7538.07596,0.0375
2021-05-28,ES,Guarapari,city,14516,374,True,126701,3202405,11456.89458,0.0258
2021-05-28,ES,Ibatiba,city,3201,76,True,26426,3202454,12113.07046,0.0237
2021-05-28,ES,Ibiraçu,city,1579,31,True,12591,3202504,12540.70368,0.0196
2021-05-28,ES,Ibitirama,city,393,11,True,8859,3202553,4436.16661,0.028
2021-05-28,ES,Iconha,city,2447,19,True,13973,3202603,17512.34524,0.0078
2021-05-28,ES,Importados/Indefinidos,city,3720,183,True,,,,0.0492
2021-05-28,ES,Irupi,city,1404,37,True,13526,3202652,10380.00887,0.0264
2021-05-28,ES,Itaguaçu,city,1520,19,True,14023,3202702,10839.33538,0.0125
2021-05-28,ES,Itapemirim,city,4048,125,True,34656,3202801,11680.51708,0.0309
2021-05-28,ES,Itarana,city,1353,21,True,10494,3202900,12893.08176,0.0155
2021-05-28,ES,Iúna,city,2307,69,True,29290,3203007,7876.40833,0.0299
2021-05-28,ES,Jaguaré,city,3287,44,True,31039,3203056,10589.90303,0.0134
2021-05-28,ES,Jerônimo Monteiro,city,1119,36,True,12265,3203106,9123.52222,0.0322
2021-05-28,ES,João Neiva,city,2462,47,True,16722,3203130,14723.11924,0.0191
2021-05-28,ES,Laranja da Terra,city,695,9,True,10933,3203163,6356.90113,0.0129
2021-05-28,ES,Linhares,city,23829,349,True,176688,3203205,13486.48465,0.0146
2021-05-28,ES,Mantenópolis,city,834,41,True,15503,3203304,5379.60395,0.0492
2021-05-28,ES,Marataízes,city,6179,168,True,38883,3203320,15891.26353,0.0272
2021-05-28,ES,Marechal Floriano,city,2987,47,True,16920,3203346,17653.6643,0.0157
2021-05-28,ES,Marilândia,city,1963,29,True,12963,3203353,15143.09959,0.0148
2021-05-28,ES,Mimoso do Sul,city,2855,46,True,26115,3203403,10932.41432,0.0161
2021-05-28,ES,Montanha,city,1478,52,True,18894,3203502,7822.58918,0.0352
2021-05-28,ES,Mucurici,city,594,9,True,5496,3203601,10807.86026,0.0152
2021-05-28,ES,Muniz Freire,city,2619,39,True,17319,3203700,15122.12021,0.0149
2021-05-28,ES,Muqui,city,1811,50,True,15526,3203809,11664.30504,0.0276
2021-05-28,ES,Nova Venécia,city,4976,112,True,50434,3203908,9866.36,0.0225
2021-05-28,ES,Pancas,city,2293,33,True,23306,3204005,9838.66815,0.0144
2021-05-28,ES,Pedro Canário,city,2024,51,True,26381,3204054,7672.18832,0.0252
2021-05-28,ES,Pinheiros,city,3001,74,True,27327,3204104,10981.81286,0.0247
2021-05-28,ES,Piúma,city,2461,73,True,22053,3204203,11159.47944,0.0297
2021-05-28,ES,Ponto Belo,city,562,13,True,7940,3204252,7078.08564,0.0231
2021-05-28,ES,Presidente Kennedy,city,1936,47,True,11658,3204302,16606.62206,0.0243
2021-05-28,ES,Rio Bananal,city,2236,28,True,19271,3204351,11602.92668,0.0125
2021-05-28,ES,Rio Novo do Sul,city,1425,22,True,11626,3204401,12257.01015,0.0154
2021-05-28,ES,Santa Leopoldina,city,1006,24,True,12197,3204500,8247.92982,0.0239
2021-05-28,ES,Santa Maria de Jetibá,city,4905,48,True,41015,3204559,11959.03938,0.0098
2021-05-28,ES,Santa Teresa,city,3912,56,True,23724,3204609,16489.63075,0.0143
2021-05-28,ES,São Domingos do Norte,city,1220,20,True,8687,3204658,14043.97375,0.0164
2021-05-28,ES,São Gabriel da Palha,city,6059,69,True,38522,3204708,15728.67452,0.0114
2021-05-28,ES,São José do Calçado,city,884,56,True,10546,3204807,8382.32505,0.0633
2021-05-28,ES,São Mateus,city,11069,232,True,132642,3204906,8345.01892,0.021
2021-05-28,ES,São Roque do Canaã,city,1657,18,True,12510,3204955,13245.40368,0.0109
2021-05-28,ES,Serra,city,61332,1294,True,527240,3205002,11632.65306,0.0211
2021-05-28,ES,Sooretama,city,2842,48,True,30680,3205010,9263.36375,0.0169
2021-05-28,ES,Vargem Alta,city,2252,43,True,21591,3205036,10430.27187,0.0191
2021-05-28,ES,Venda Nova do Imigrante,city,4130,46,True,25745,3205069,16041.94989,0.0111
2021-05-28,ES,Viana,city,7596,229,True,79500,3205101,9554.71698,0.0301
2021-05-28,ES,Vila Pavão,city,992,16,True,9244,3205150,10731.28516,0.0161
2021-05-28,ES,Vila Valério,city,2802,32,True,14073,3205176,19910.46685,0.0114
2021-05-28,ES,Vila Velha,city,59148,1467,True,501325,3205200,11798.33441,0.0248
2021-05-28,ES,Vitória,city,51649,1154,True,365855,3205309,14117.34157,0.0223
